Symbol,Name,Spread As Low as (pips),Commission,Long Swap (points),Short Swap (points),Contract Size (Per Lot),Minimum Contract Size (Lot),Minimum Step Size (Lot),Leverage (Up to),
NZDCHF,New Zealand Dollar vs Swiss Franc,1.5,No,2.72,-7.58,100000 NZD,0.01,0.01,1:1000,<a href=https://baxiamarkets.com/trading-nzdchf> Read more </a>
NZDJPY,New Zealand Dollar vs Japanese Yen,1.8,No,7.09,-20.11,100000 NZD,0.01,0.01,1:1000,<a href=https://baxiamarkets.com/trading-nzdjpy> Read more </a>
NZDUSD,New Zealand Dollar vs US Dollar,1,No,-2.21,-1.51,100000 NZD,0.01,0.01,1:1000,<a href=https://baxiamarkets.com/trading-nzdusd> Read more </a>
USDCAD,US Dollar vs Canadian Dollar,1.2,No,-2.54,-5.24,100000 USD,0.01,0.01,1:1000,<a href=https://baxiamarkets.com/trading-usdcad> Read more </a>
USDCHF,US Dollar vs Swiss Franc,0.8,No,4.06,-14.44,100000 USD,0.01,0.01,1:1000,<a href=https://baxiamarkets.com/trading-usdchf> Read more </a>
USDCNH,US Dollar vs Chinese Yuan,2.5,No,-3.51,-10.71,100000 USD,0.01,0.01,1:50,<a href=https://baxiamarkets.com/trading-usdcnh> Read more </a>
USDJPY,US Dollar vs Japanese Yen,0.7,No,12,-29.05,100000 USD,0.01,0.01,1:1000,<a href=https://baxiamarkets.com/trading-usdjpy> Read more </a>
USDCZK,US Dollar vs Czech Koruna,24.6,No,-11.7,-95.2,100000 USD,0.01,0.01,1:1000,<a href=https://baxiamarkets.com/trading-usdczk> Read more </a>
USDDKK,US Dollar vs Danish Krone,35,No,-21.12,-90.22,100000 USD,0.01,0.01,1:50,<a href=https://baxiamarkets.com/trading-usddkk> Read more </a>
USDHKD,US Dollar vs Hong Kong Dollar,1.7,No,-4.31,-7.75,100000 USD,0.01,0.01,1:50,<a href=https://baxiamarkets.com/trading-usdhkd> Read more </a>
USDHUF,US Dollar vs Hungarian Forint,30,No,-99.08,27.92,100000 USD,0.01,0.01,1:1000,<a href=https://baxiamarkets.com/trading-usdhuf> Read more </a>
USDMXN,US Dollar vs Mexican Peso,150,No,-432.99,107.01,100000 USD,0.01,0.01,1:1000,<a href=https://baxiamarkets.com/trading-usdmxn> Read more </a>
USDNOK,US Dollar vs Norwegian Krone,120.5,No,-48.08,-124.28,100000 USD,0.01,0.01,1:1000,<a href=https://baxiamarkets.com/trading-usdnok> Read more </a>
USDPLN,US Dollar vs Polish Zloty,30,No,-36.43,-28.93,100000 USD,0.01,0.01,1:1000,<a href=https://baxiamarkets.com/trading-usdpln> Read more </a>
USDSEK,US Dollar vs Swedish Krona,60,No,-43.63,-125.63,100000 USD,0.01,0.01,1:1000,<a href=https://baxiamarkets.com/trading-usdsek> Read more </a>
USDSGD,US Dollar vs Singapore Dollar,8,No,-5.11,-17.01,100000 USD,0.01,0.01,1:1000,<a href=https://baxiamarkets.com/trading-usdsgd> Read more </a>
USDZAR,US Dollar vs South African Rand,9,No,-32.05,-4.87,100000 USD,0.01,0.01,1:1000,<a href=https://baxiamarkets.com/trading-usdzar> Read more </a>
